Maciejewski-2008,Understanding Syndromic Hotspots - A Visual Analytics Approach,See bibtex,Surveillance (Syndromic hotspots),Epidemiology,Single,Mixed,Geospatial temporal Data,Geometry,Explore/ Identify,,Overlays/Linked Views,Heatmaps/Timeline Graph,Informal interview with a syndromic surveillance epidemiologist,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677354,,,,,,,,,"This paper proposes a visualization to analyze syndromic surveillance data. The visualization is composed by a heatmap describing the occurrences of syndromes spatially, linked with line charts that describe the distribution in time of these episodes."
Pan-2007,FemaRepViz: Automatic Extraction and Geo-Temporal Visualization of FEMA National Situation Updates,See bibtex,Event (text documents/ reports),Media Analysis,Single,Mixed,Geo-Temporal Data,Geometry,Explore,,Overlays,Glyphs/ Map,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4388991,,,,,,,,,This paper introduces a toolkit that uses text mining techniques to extract informations from FEMA reports and geotag them. The actual visualization is an overlay of glyphs over a map that represent the extracted information.
Quan-2009,Geovisual Analytics for Self-Organizing Network Data,See bibtex,Self-organizing Network,Geospatial,"Multi (five domain experts)",Mixed,Geospatial Temporal Data,Geometry,Explore,,Overlays/Linked Views,GAV Flash/Glyph/Symbol/Timeline(Interval)/Parallel Coordinates,User Feedback,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5332610,,,,,,Details On Demand,,,"This paper proposes a visualization tool to visualize self-organizing network data related to cellular cells and neighbor cell relations. The visualization uses both linked views and overlays. A main map is overlaid with 3 different layers: colors, symbols and glyphs. The map is then surrounded by other views: a relation based parallel coordinates chart, a time slider, and two line charts that provide informations about the selected cell."
Wang-2008,Investigative Visual Analysis of Global Terrorism,See bibtex,Event (Terrorism),Media Analysis,Single,Mixed,Geospatial temporal data,Geometry,Explore,,Overlays/Linked Views,ThemeRiver/Table,Scenarios,,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2008.01225.x/epdf,,,,,,,,,"This paper proposes a visualization tool to explore terrorism related data. The visualization is composed by two main views: a map, where the elements in the dataset are overlaid over their spatial location with different color representing the type of attack or the origin, and a flow chart, showing the distribution of attacks over time."
Weaver-2006,Visual Analysis of Historic Hotel Visitation Patterns,See bibtex,Event (Historic Hotel Visitation),Media Analysis,Multi,Mixed,Multidimensional data (spatial/temporal),Geometry,Explore,,Overlays/Linked Views,Table/Histograms/Arc Diagram/Multi-layer Map/Color,User Study/Feedback,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035745,,,,,,,,,"This paper describes a tool to visualize hotel visitation patterns. The tool make use of linked views, the spatial part of the data is visualized using a map with overlays: trajectories from the home of people visiting the hotel are drawn. Then a matrix chart displays the visitors as in a calendar, where every single visitor has a number assigned. An arc chart helps the user to understand temporal relationship between recurrent visits of the same customer, even if they are distant in time. Tables showing the raw dataset are linked to the other views through brushing."
Weaver-2008,Multidimensional Visual Analysis Using Cross-Filtered Views,See bibtex,Multi-domain (World Events),Media Analysis,Single,Mixed,Multidimensional data (spatial/temporal),Geometry,Explore/ Locate,,Overlays/Linked Views,Table//Histograms/Timeline Graph/Map/Graph/Cluster Visualization/Color,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677370,,,,,,,,,"This paper describes methods and techniques to cross filter spatial-nonspatial in linked views visualization tools. The visualization uses a map and a matrix chart, that are linked through brushing and highlighting."
Kothur 2014,Visual Analytics for Comparison of Ocean Model Output with Reference Data: Detecting and Analyzing Geophysical Processes Using Clustering Ensembles,,Cartography/Ocean Modeling,Oceanography,Single,Mixed,SpatioTemporal Fields,Geospatial Fields,Compare,,Overlays/Linked Views,Heatmaps/ Histograms,Design/ Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6876007,Comparing Oceanographic models using an overview Visual Analytic,,,,,,,,"This paper describes a Visual Analytic tool to compare ocean models: the only way to asses the quality of an oceanographic model is to compare it with other models or with observation.
Comparing such a great volume of data is difficult, this tool solves it by clustering the data using parameters given by the user and then plotting these clusters in two side by side visualization where the user can see similarities and differences.
"
Lu 2015,Exploring Evolving Media Discourse Through Event Cueing,,Media Analysis/Event Detection,Media Analysis,Single,Mixed,GeospatioTemporal (Tweets...),Geometry,Explore,,Overlays/Linked Views,Cloropleths/ Timelines/ Maps/ Pie Charts/ Tag Clouds/ Coordinated Projections(Lens),Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192705&isnumber=4359476,Getting news from online media analysis in Africa,,,,,,,,"A lot of work has been done lately about retrieving informations about events using online media, this paper goes beyond that: it detects shifts in the topic of the overall media discourse. Once a shift in the discussion is found it helps the analyst to find what event (if any) caused it. The use of linked views gives a complete overview of all the possible causes that could have triggered such a change. As a case study they explored the relationship between climate change and conflicts in Africa."
Chen 2011,MobileAnalymator: Animating Data Changes on Mobile Devices,,Media Analysis/Epidemiology,Media Analysis,Single,Mixed,GeospatioTemporal (Tweets...),Geometry,Explore/ Identify,Tablet,Overlays,Maps/ Colors,Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102490,Analyzing diseases spreading from media analysis on a tablet,,,,,,,,"MobileAnalymator is a web-based application designed to perform media analysis, especially disease outbreaks analysis, on mobile devices. The focus on mobile devices forced the authors to shift all the computational work to the server side. The paper is part of the VAST 2011 Epidemic spread challenge."
Cenydd 2011,epSpread - Storyboarding for Visual Analytics,,Media Analysis/Epidemiology,Media Analysis,Single,Mixed,GeospatioTemporal (Tweets...),Geometry,Explore,,Overlays/Linked Views,Heatmaps/ Word Clouds/ Streamgraphs,Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102489,Visualizing diseases diffusion in time from online media analysis ,,,,,,,,"The paper is part of the VAST 2011 Epidemic spread challenge. epSpread focus on the time component in the epidemic spread. Notable is the use of stream graphs in the timelines, they really give the idea of the various symptoms sequence and volume. The case study was conducted on the challenge data."
Bosch 2011,ScatterBlogs: Geo-Spatial Document Analysis,,Media Analysis,Media Analysis,Single,Mixed,GeospatioTemporal (Tweets...),Geometry,Explore,,Overlays/Linked Views,Tag Clouds/ Maps/ Scatter Plots,Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102488&tag=1,Overlaying tag clouds on maps to visualize regions affected by diseases,,,,,,,,"The paper is part of the VAST 2011 Epidemic spread challenge. ScatterBlogs tries to talk the challenge using a novel combination of visualizations: the tag clouds are overlaid on the map, giving a pretty good overview of the situation. Interesting is also the use of colors to encode the time in the visualization."
Boone 2011,Mapping an Epidemic Outbreak: Effective Analysis and Presentation,,Media Analysis/Epidemiology,Media Analysis,Single,Mixed,GeospatioTemporal (Tweets...),Geometry,Explore,,Overlays,Maps/ Glyphs,Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102486&tag=1,Findings diseases outbreak causes,,,,,Details On Demand,,,The paper is part of the VAST 2011 Epidemic spread challenge. This paper focuses on analyzing the dispersion pattern of the epidemic given by the microblogs data in order to find the origin area (ground zero). Once the spatial origin of the disease is found it is consequently easier to find the event (if any) that caused it.
Banfi 2011,City Sentinel – VAST 2011 Mini Challenge 1 Award: “Outstanding Integration of Computational and Visual Methods”,,Media Analysis,Media Analysis,Single,Mixed,GeospatioTemporal (Tweets...),Geometry,Explore,,Overlays,Color/ Words Cloud,Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102485,,,,,,,,,"The paper is part of the VAST 2011 Epidemic spread challenge. City sentinel tackles the challenge by its text mining side, combining diverse techniques to find the origin of the outbreak. A nice visualization tool has been developed to help the user refine the text mining algorithms and properly visualize the results on a map."
Rothenberger 2011,Pexel and Heatmap Visual Analysis of Multidimensional Gun/Homicide Data,,Scientific Visualization,Geospatial,Single,Mixed,GeoSpatial,Geospatial Fields,Explore,,Overlays/Linked Views,Pexel Mapping/ Heatmap/ Coordinated Projections,Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102482,,,,,,Details On Demand,,,"The visualization created in this paper helps the user to analyze the correlation in county level gun/homicide data. A novel visualization consists in overlaying 2D pexels over a map: the orientation, color, and size of the pexel represent laws, poverty percentage, and homicide rate. This gives the user a nice overview of the causes of a high or low homicide rate.
"
Peca 2011,KD-Photomap: Exploring Photographs in Space and Time,,Media Analysis,Media Analysis,Single,Mixed,GeospatioTemporal (Flickr),Geometry,Explore,,Overlays/Linked Views,Map/ Color/ Histograms/ Line Charts,Design Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102479,,,,,,Details On Demand,,,"KD-Photomap lets the user explore the public database of geotagged Flickr photos by performing spatial and temporal filtering in an easy and user friendly way. The user can select a particular area in space and time and the system will give analytics on the related photos. The spatial selection can be performed with a poligonal selection tool directly on the map, while the spatial filtering can be performed on a timeline."
Hao 2011,Visual Sentiment Analysis on Twitter Data Streams,,Media Analysis,Media Analysis,Single,Mixed,GeoSpatioTemporal (Tweets...),Geometry,Browse/ Explore,,Overlays/Linked Views,Heatmap/ Calendar,Case Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102472,,,,,,,,,"This paper focus on sentiment analysis of tweets: using natural language processing techniques it determines topic and opinion of every analyzed tweet. A stream analysis is then performed on all the tweets to find interesting patterns. The result of the analysis is then plotted on a map using an overlaid color to described the sentiment pattern. The visualization let the user tune the degree of overlap between similarly located tweets in order to give informations about the volume of tweets.
"
MacEachren 2011,SensePlace2: GeoTwitter Analytics Support for Situational Awareness,,Media Analysis,Media Analysis,Single,Mixed,GeoSpatioTemporal (Tweets...),Geometry,Browse/ Explore,,Overlays/Linked Views,Heatmap/ Timeline,Case/User Study,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102456,,,,,,Details On Demand,,,"SensePlace2 is an application that analyzes social media to retrieve Geographically-grounded situational awareness. Once a topic and an area are chosen, the application produces an heatmap that shows the volume and correlation of the tweets to the chosen topic. It is particularly useful to find areas affected by disasters."
Alam 2015,Quantitative Measures for Cartogram Generation Techniques  ,,Cartography,Cartography,Single,Single,GeoSpatial Fields,GeoSpatial Fields,Compare/ Explore,,Overlays,Cartograms,Design study,,http://onlinelibrary.wiley.com/doi/10.1111/cgf.12647/epdf,,,,,,,,,"This paper proposes a series of quantitative measures to define the fidelity of a cartogram to the original map it is supposed to represent. These measurements are applied to the most famous cartograms generation algorithm, showing their pros and cons."
Cano 2015,Mosaic Drawings and Cartograms,,Cartography,Cartography,Single,Single,GeoSpatial Fields,GeoSpatial Fields,Compare/ Explore,,Overlays,Cartograms,Design study,,http://onlinelibrary.wiley.com/doi/10.1111/cgf.12648/epdf,,,,,,,,,"This paper proposes a fully automated method to create mosaic cartograms, the algorithm also tries to maintain the shape of the original area. The mosaic tiles can be both squares or hexagons, but the only way in which they encode the non-spatial information is through color.
"
Diehl 2015,Visual Analysis of Spatio-Temporal Data: Applications in Weather Forecasting,,Metereology,Metereology,Single,Mixed,GeoSpatial Fields,GeoSpatial Fields,Explore/ Identify,,Overlays/Linked Views,Colors/ Heatmaps/ Timelines,Design study,,http://onlinelibrary.wiley.com/doi/10.1111/cgf.12650/epdf,,,,,,,,,"This paper presents an interactive visualization to help meteorologists to make good short term predictions. The meteorological model's output is strictly numerical, and a visualization is needed in order to make it understandable. The visualization presented here introduces new tools to help the user, such as a curve-pattern selector, spatial ﬁlters, and a linked meteogram.
"
Mahsa Mirzargar 2014,Curve Boxplot: Generalization of Boxplot for Ensembles of Curves,See Bibtex,Geo-Spatial,Geospatial,Single,Single,Scalar Fields / Geographic,Geometry,Exploration,,Overlays,Maps / Plots,User Feedback,,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6875964,,,,,,,,,"This paper presents a new visualization technique to show an aggregated view of ensembles of 2D and 3D curves. This new visualization is inspired by box plots and shows the median, the quartiles, and the outliers of an ensembles of curves in a compact and user friendly way.
"
Florian Ferstl 2015,Streamline Variability Plots for Characterizing the Uncertainty in Vector Field Ensembles,See Bibtex,Geo-Spatial,Geospatial,Single,Single,Geographic / Vector Fields / Time Dep.,Geometry,Comparison ,,Overlays,Maps / Geometric Flow,NA,,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7192675,,,,,,,,,"This paper presents a new method to visualize ensembles of flow field: the flow is first reduced to a low-dimensional Euclidean field by applying a principal component analysis, it is then clustered and represented as a combination of its major trends. The result is a schematic overview of the analyzed flow."
Panse-2006,Visualization of Geo-spatial Point Sets via Global Shape Transformation and Local Pixel Placement,see bibtex file,Cartography,Cartography,Single,Single,geospatial point sets (e.g. census demographics),Geometry,,N/A (low-res),Overlays,Dense pixelmaps,proof of concept,N/A,http://kops.uni-konstanz.de/bitstream/handle/123456789/5443/InfoVis2006pm_carto_panse_sips_keim_north_169_4tvcg.pdf?sequence=1,,,,,,,,,"This paper presents a combination of cartograms-based layouts and pixel local placement to produce a cartogram. This combination produces cartograms that manage to show interesting patterns at local level while preserving the overall shape of the original map, making the user life easier."
Chang-2007,Legible Cities: Focus-Dependent Multi-Resolution Visualization of Urban Relationships,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4376137,Urban data,Urban,Single,Mixed,"fourteen experts with different
occupational backgrounds ranging from real estate developers and urban
planners to geographic information system (GIS) users. (architects and urban planners)",Geometry,Explore,,Linked Views,HeatMaps/Parallel coordinates/ Bar Graphs,,,,,,,,,Details On Demand,,,UrbanVis uses linked views to show various kind of data about particular areas of a city. The innovative idea that it proposes is having an heatmap showing the selected area and its neighbors always present in the visualization side by side with the actual data visualizations. This choice allows the user to be always spatially aware of where the data he’s analyzing is coming from.
Butkiewicz 2008,Multi-focused Geospatial Analysis Using Probes,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4658126,cartography,Urban,Single,Mixed,,Geometry,Compare,,Overlays/Linked Views,,Desing/ Case Study,,,,,,,,Details On Demand,,,"This paper introduces the concept of probes in geospatial analysis: comparing data about particular regions that are spatially distant is really challenging using the usual spatial visualizations. In order to see both of the regions the zoom level should be reduced, making it impossible for the user to see interesting patterns. A probe is an independent visualization of a single region, that can be put side by side with another probe in order to compare local patterns in very distant regions. "
Guo-2009,Flow Mapping and Multivariate Visualization of Large Spatial Interaction Data,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=5290710,cartography,Geospatial,Single,Mixed,Geospatial Flows,Geometry,Explore,,Overlays/Linked Views,Maps/ Color/ Tables / Parallel Coordinates,Desing/ Case Study,,,,,,,,Details On Demand,,,"This paper proposes an effective interface to analyze migrations flows. Dealing with migration flows is hard because of the countless number of variables associated with a single flow, such as migrant’s age, origin, volume… The visualization proposed makes a wise use of linked views to show all of this attributes to the user without losing his spatial awareness thanks to the always present map.
"
Turkay-2014,Attribute Signatures: Dynamic Visual Summaries for Analyzing Multivariate Geographical Data,10.1109/TVCG.2014.2346265,cartography,Cartography,Single,Mixed,Geospatial point sets,Geometry,Explore/ Compare,,Overlays/Linked Views,Maps/ Color/ Line Charts,Design/ Case Study,,"cartography, linked views/details on demand/small multiples",,,,,,Details On Demand,,,This paper presents a visualization that uses linked views to present a large number of statistical analysis without depriving the user of his spatial awareness. Multiple regions can be compared to find similarities in their statistical analysis. A case study is conducted showing how to find differences between London and Leicester.
Lanir 2014,Visualizing Proximity-Based Spatiotemporal Behavior of Museum Visitors using Tangram Diagrams,,Indoor Location Tracking,,Single,Single,Timevarying Spatial,Geometry,Summarize/ Identify,,Overlays,Maps/ Glyphs (Tangrams),Design/ Case Study,,http://onlinelibrary.wiley.com/doi/10.1111/cgf.12382/epdf,,,,,,,,,"This paper presents a novel visualization to encode visitors behavior in museums. A glyph is placed in front of every attraction in the museum, its size, orientation, and color represents different behavior that people have in that particular part of the museum, such as time spent, holding power and attractive power."
Pike-2008,The Scalable Reasoning System: Lightweight Visualization for Distributed Analytics,See Chihua's bibtex,Geospatial,Geospatial,Multi,Mixed,?,Geometry,Explore,,Overlays/Linked Views,Timeline Graph(line/area)/Cluster,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677366,,,,,,,,,"This paper proposes Scalable Reasoning System, a web-based and mobile interface for visual analytics. The role of the system is to put as less computation as possible on the client, while reaching a broad user base. Thanks to SRS, visual analytics can be deployed easily to a great number of user. The visualization itself is composed by linked views with a map as the major visualization, surrounded by tables and cluster charts to show the non-spatial component of the data."
Tomaszewski-2010,"Geo-Historical Context Support for Information Foraging and Sensemaking: Conceptual Model, Implementation, and Assessment",See Chihua's bibtex,Event (Geo-historical context),Media Analysis,Multi (four UN staff members),,Spatial and temporal data,Geometry,Explore/ Summarize/ Annotate,,Overlays/Linked Views,Concept map/Timeline/,Scenario,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652895,,,,,,,,,"This paper proposes a visualization that helps the user making important decisions, by trying to construct what they call a geo-historical context around the decision to be made. The decisions considered here are of crisis management and humanitarian reliefs, the way in which they try to provide the geo-historical context is through documents foraging. Linked views are used to show documents related to the selected region of a map. Searches can be made without leaving the context. Links to other regions with similar problems are shown on the map.
"
Mehler-2006,Spatial Analysis of News Sources,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.129.9774&rep=rep1&type=pdf,Cartography,Media Analysis,Single,Mixed,Geospatial Temporal data (newspaper articles),Geometry,Explore/ Compare,,Overlays,Heatmap,Design/ Case Study,,,,,,,,,,,"This paper proposes a visualization to show spatially what newspapers are talking about in different regions. Retrieving data from a big newspaper database a heatmap is created, showing where some topics are discussed. This is used to show the strong regional bias of some events."
Dykes-2007,Geographically Weighted Visualization: Interactive Graphics for Scale-Varying Exploratory Analysis,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4376135,Cartography,Cartography,Single,Mixed,?,GeoSpatial Fields,Explore/ Compare,,Overlays/Linked Views,ScaloGrams/ Box plots/ Heatmaps,novel: scalograms,,,,,,,,,,,"This paper proposes a series of novel visualizations to help the user compare demographic variables between different regions. Linked views are used side by side with an heatmap to provide more informations. Box plots are used to show how a selected region is doing with respect to the others. All the statistics are weighted also with respect to the geographic distance of regions, so to highlight possible patterns that couldn’t be seen otherwise. A novel visualization is utilized: a scalogram is designed to help explore variations and the geographical scales at which they occur."
Dork-2008,VisGets: Coordinated Visualizations for Web-based Information Exploration and Discovery,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=4658131,cartography,Geospatial,Single,Single,Geospatial Temporal data (web search results) ,Geometry,Explore/ Lookup,,Overlays/Linked Views,Map/ Timeline/ Tag Clouds,,,,,,,,,,,,"This paper proposes a novel and easier way to do web researches through linked views. The user can search by topic, then a timeline will show him the time distribution of the results, so he can easily perform a temporal filter. A map of the results location in space will allow him to perform a spatial filter."
Speckman-2010,Necklace Maps,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=5613424,cartography,Cartography,Single,Mixed,Geospatial Fields,GeoSpatial Fields,Compare,,Overlays,Necklace Maps,,,,,,,,,,,,"This paper proposes a novel visualization for quantitative data about geographic regions : the Necklace Maps. This visualization completely erases the bias towards small regions, giving them a symbol with a size related to their quantitative data. All the region symbols are projected onto intervals on a one-dimensional curve (the necklace) that surrounds the map regions. The major flaw of this visualization is that the spatial and topographic relationships are completely lost."
Ferreira-2011,BirdVis: Visualizing and Understanding Bird Populations,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6065004,cartography,Geospatial,Single,Mixed,Geospatial Temporal data (Birds movements) ,Geometry,Explore/ Identify/ Compare,,Overlays/Linked Views,Heatmap/ Tag Cloud/ Time Line,,,,,,,,,,,,BirdVis is a visualization tool that helps the user to understand the change of birds habitat preferences over time and space. The user can see where the birds are over time while a number of nonspatial information about the region are shown. This visualization can also be useful to find environmental changes in particular regions.
Accorsi 2014,HydroQual: Visual Analysis of River Water Quality,,Environmental \ Water Quality,Geospatial,Single,Mixed,SpatioTemporal Fields,Geometry,Exploration,,Overlays/Linked Views,Graphs/ Maps,Case Study,,http://ieeexplore.ieee.org.proxy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7042488,,,,,,,,,"HydroQual is a tool that facilitates visual analysis of river water quality. It is composed by 3 linked views: A cluster graph groups the analysis station by similarity, a map shows their spatial location, and, once the user select a set of stations, a graph shows the temporal dimension of the data. "
Afzal-2012,Spatial Text Visualization Using Automatic Typographic Maps,,Cartography,Cartography,Single,Mixed,Text and Spatial Data,Geometry,Explore,,Overlays,Typographic Map,User Feedback,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6327261,,,,,,,,,Afzal et al. present an automatic algorithm for generating typographic maps that merge text and spatial data into a visual representation where text alone forms the graphical features.
